"('September', '2018')",Development of a Full Mission Simulator for Pilot Training of Fighter Aircraft,"Shashidhara BP, Chandra Sekaran, Yashpal Bhatia, Magesh Kumar, Binesh Kumar, Hemanth Kumar","(0, 0)"
"('September', '2018')",Design and Validation of Blast Non-propagation Wall for Multi-Compartmented Explosive Storage Structure of Capacity 5T NEC per Compartment,"Prabhanjan Kumar Thakur, Rajesh Mishra, Rajesh Kumar Tanwar, Ghanshyam Kumar Mishra, Rajiv Narang","(0, 1)"
"('September', '2018')",Design Optimisation of Muzzle Brake for Sniper Rifle,"Mohamed Sherif, Ossama Ramy Abdelsalam, Mohamed Aboul","(0, 2)"
"('September', '2018')",Small-Caliber Grenade Projectile Applicable to Individual Grenade Launchers,"Michal Taraszewski, Janusz Ewertowski","(0, 3)"
"('September', '2018')",Capturing an Evader Using Multiple Pursuers with Sensing Limitations in Convex Environment,Amit Kumar,"(0, 4)"
"('September', '2018')",Countering UAVs – the Mover of Research in Military Technology,"Miroslav Kratky, Jan Farlik","(0, 5)"
"('September', '2018')","Construction of Dual Cyclic Codes over {F}_{2}[u,v]/ < u^2, v^2 - v, uv - vu >  for DNA Computation","Manoj Kumar Singh, Abhay Kumar Singh, Narendra Kumar, Pooja Mishra, Indivar Gupta","(0, 6)"
"('September', '2018')",Evaluation of Local Feature Detectors for the Comparison of Thermal and Visual Low Altitude Aerial Images,"Divya Lakshmi Krishnan, Mr Muthaiah, Anand Tapas, Mr Kannan","(0, 7)"
"('September', '2018')","Relay based Coupling Scheme of High  Speed Communication data, High voltage DC  And High Power Pulsed AC for Coaxial Cable","Mr Manoj, Eldho Jacob, Sona Kundukulam","(0, 8)"
"('September', '2018')",Range Performance Modelling of Thermal Imaging System based on Single Parameter Characterised by Ambient Temperature and Relative Humidity,"Sudhir Khare, Manvendra Singh, Brajesh Kumar Kaushik","(0, 9)"
"('September', '2018')",Testing and Evaluation of High Energy Portable Laser Source used as a Target Designator along with a Laser Seeker,"Tutul Gogoi, Rajni Kumar, Joshua Anand Gladwin, Vivek Goyal","(0, 10)"
"('September', '2018')",Characterization of High Porous PZT Piezoelectric Ceramics by different Techniques,"Praveen Kumar B, Bhupender Rawal, KM Rajan","(0, 11)"
"('September', '2018')",Fragmentation Behaviour of Radial Layered PELE Impacting Thin Metal Target Plates,"Chun Cheng, Xi Chen, Zhonghua Du, Jilong Han, Chengxin Du, Lizhi Xu","(0, 12)"
"('September', '2018')",Influence of Tool Tilt Angle on Material Flow and Defect Generation in Friction Stir Welding of AA2219,"Suresh Meshram, Madhusudhan Reddy","(0, 13)"
"('September', '2018')",Design and Development of Compact Conformal Microstrip Antenna at S-Band,"Srinivasa Rao Varanasi, DR Jahagirdar, Girish Kumar","(0, 14)"
"('July', '2018')",Passive Thermal Management of Launch Vehicle Systems using Phase Changing Materials,"Vijay Kumar Sen, Janmejay Jaiswal, Amarnath Nandi, Aliyas Areeckal Varkey, Aravindakshan Pillai","(1, 0)"
"('July', '2018')",Assessment of Invisible Areas and Military Objects in Mountainous Terrain,"Azad Agalar Bayramov, Elshan Giyas Hashimov","(1, 1)"
"('July', '2018')",Failure behavior of concrete subjected to high dynamic loading of new spiral projectile,"Jun Wu, Jianguo Ning, Tianbao Ma","(1, 2)"
"('July', '2018')",A Survey of Adversarial Machine Learning in Cyber Warfare,Vasisht Duddu,"(1, 3)"
"('July', '2018')",An Evidential Fractal Analytic Hierarchy Process Target Recognition Method,"Yuzhen Han, Yong Deng","(1, 4)"
"('July', '2018')",Application of Spatiotemporal Fuzzy C-Means Clustering for Crime Spot Detection,"Mohd Yousuf Ansari, Anand Prakash, Dr Mainuddin","(1, 5)"
"('Error', 'Error')",Design for Stuck-at Fault Testability in MCT based Reversible Circuits,"Hari Mohan Gaur, Ashutosh Kumar Singh, Umesh Ghaneka","(1, 6)"
"('July', '2018')",Frustum Shaped Conformal Antenna for Spinning Aerial Platform,"Diptiman Biswas, Asif Rizwan","(1, 7)"
"('July', '2018')",Study of Wavefront Tilt Variance with Various Telescope Apertures in Indoor Convective Turbulence,"Awakash Dixit, Aditya Kumar Mamgain, Vikash Porwal, Sanjay Kumar Mishra","(1, 8)"
"('July', '2018')",Ultrasonic Standoff Photoacoustic Sensor for the Detection of Explosive and Hazardous Molecules,"Ramesh Sharma, Subodh Kumar, Saurabh Gupta, Hari Srivastava","(1, 9)"
"('July', '2018')",Effect of Yttrium Oxide Dispersion on the Microstructure and Properties of Tungsten Heavy Alloys,"Prabhu Gnanasambandam, Arockia Kumar, Tapash Kumar Nandy","(1, 10)"
"('July', '2018')",Infrared and Structural Studies of Micro and Nano-crystalline Ta Doped Lead Zirconate Titanate Ceramics,"Praveen Kumar, Dr MBalasubramaniam, BS Murty, KM Rajan","(1, 11)"
"('July', '2018')",Similarity Analysis of Projectile Penetration into Concrete,"Meng Huang, Zhuo-Cheng Ou, Yi Tong, Zhuo-Ping Duan, Feng-Lei Huang","(1, 12)"
"('May', '2018')","Thermal Design, Analysis and Packaging of an Airborne Multi-output Power Supply Unit","Sogunuru Annapurna, Pradapan Vikram, Suma Varughese","(2, 0)"
"('May', '2018')",Aerodynamic Parameters Estimation Using Radial Basis Function Neural Partial Differentiation Method,"Jitu Sanwale, Dhan Jeet Singh","(2, 1)"
"('May', '2018')",Evaluating Impact Resistance of Aluminum 6061-T651 Plate using Smoothed Particle Hydrodynamics Method,"Ehsan Hedayati, Mohammad Vahedi","(2, 2)"
"('May', '2018')",Application of Water Cumulative Charges as a Water Spouts for Intensive Flame Extinguishing,"Marek Hütter, Stanislav Lichorobiec, Radomír Ščurek","(2, 3)"
"('May', '2018')",Comfort Level Refinement of Military Tracked Vehicle Crew through Optimal Control Study,"N. V. Ramamurthy, B. K. Vinayagam, J. Roopchand","(2, 4)"
"('May', '2018')",Effects of Tank Gun Structural Components on the First Shot Hit Probability,"Tolga Dursun, Çağrıhan Utlu, Enis Naci Özkan","(2, 5)"
"('May', '2018')",A Field Study on Concurrent Spare Parts Recommendation in an Airborne Weapon System,"Giseop Noh, Hayoung Oh","(2, 6)"
"('May', '2018')",Design and Fabrication of Multi-finger Field Plate for Enhancement of AlGaN/GaN HEMT Breakdown Voltage,"Mr Amit, Dipendra Singh Rawal, Sunil Sharma, Sonalee Kapoor, Robert Liashram, Rupesh K. Chaubey, Seema Vinayak, Rajesh K. Sharma","(2, 7)"
"('May', '2018')",Energy-Efficient Multiple Relay Selection in Cognitive Radio Networks,"Yamuna K Moorthy, Sakuntala S. Pillai, G. Shiny","(2, 8)"
"('May', '2018')","Design, Analysis and Characterisation of Spoof Surface Plasmon Polaritons based Wideband Bandpass Filter at Microwave Frequency","Gaurav Mittal, Nagendra Prasad Pathak","(2, 9)"
"('May', '2018')",Robust Stabilised Visual Tracker for Vehicle Tracking,"Kamlesh Verma, Avnish Kumar, Debashis Ghosh","(2, 10)"
"('May', '2018')",Development of Adaptive Threshold and Data Smoothening Algorithm for GPR Imaging,"Prabhat Sharma, Bambam Kumar, Dharmendra Singh","(2, 11)"
"('May', '2018')",Implementation of Peltier Cooling in Hermetically Sealed Electronic Packaging Unit for Sub-sea Vessel,"Madhavan Nampoothiri S., Sabu Sebastian M., Sajith Kumar P.C.","(2, 12)"
"('March', '2018')",Computational Study of Transverse Slot Injection in Supersonic Flow,"Malsur Dharavath, P. Manna, Debasis Chakraborty","(3, 0)"
"('March', '2018')",Indoor Scene Recognition for Micro Aerial Vehicles Navigation using Enhanced-GIST Descriptors,"B. Anbarasu, G. Anitha","(3, 1)"
"('March', '2018')",Comparison of Predicted and Experimental Behaviour of RC Slabs Subjected to Blast using SDOF Analysis,"F. B. Mendonca, G. Urgessa, K. Iha, R. J. Rocha, J.A.F.F. Rocco","(3, 2)"
"('March', '2018')",Prediction of Shot Start Pressure for Rifled Gun System,"N. V. Sudarsan, R. B. Sarsar, S. K. Das, S. D. Naik","(3, 3)"
"('March', '2018')",Ricochet of Spheres on Sand of Various Temperature,"Yoon Keon Kim, Woo Chun Choi","(3, 4)"
"('March', '2018')",A Motif-based Mission Planning Method for UAV Swarms Considering Dynamic Reconfiguration,"Jiajie Liu, Weiping Wang, Xiaobo Li, Tao Wang, Tongqing Wang","(3, 5)"
"('March', '2018')",Effect of Internal Clearance on Buckling of Multistage Hydraulic Cylinder,"V. Ramasamy, A.M. Junaid Basha","(3, 6)"
"('March', '2018')",Multi-objective Optimisation of Multi-robot Task Allocation with Precedence Constraints,"Padmanabhan Panchu K., M. Rajmohan, R. Sundar, R. Baskaran","(3, 7)"
"('March', '2018')",A Hybrid Approach to Cognition in Radars,"M. Justin Sagayaraj, Jithesh V., J.B. Singh, Dange Roshani, K.G. Srinivasa","(3, 8)"
"('March', '2018')",A Triangular-shaped Quarter-mode Substrate Integrated Waveguide based Antenna for WBAN Applications,"Divya Chaturvedi, S. Raghavan","(3, 9)"
"('March', '2018')",Bandwidth Enhancement of Substrate Integrated Waveguide Cavity-backed  Bow-tie-complementary-ring-slot Antenna using a Shorted-via,"Arvind Kumar, S. Raghavan","(3, 10)"
"('March', '2018')","Design, Development and Performance Evaluation of Eddy Current Displacement Sensor Based Pressure Sensor with Target Temperature Compensation","K. Gobi, B. Kannapiran, D. Devaraj, K. Valarmathi","(3, 11)"
"('March', '2018')",Epoxy-glass Microballoon Syntactic Foams for Blast Mitigating Applications,"A.V. Ullas, P. K. Sharma, P. Chandel, P. Sharma, D. Kumar, D. Kumar, P. K. Roy","(3, 12)"
"('March', '2018')",Microencapsulation of Paraffin Wax Microspheres with Silver,"Kh. Gopal Krishna Singh, Sudipta Halder, Sukumar Pati, Jialai Wang","(3, 13)"
"('March', '2018')",Spectroscopic Evaluation of Optical Parameters of a Transition Metal Salt Filled Polymer Material,"M. Banerjee, Amit Jain, G. S. Mukherjee","(3, 14)"
"('January', '2018')",commemorative !,commemorative !,"(4, 0)"
"('January', '2018')",Separation Dynamics of Air-to-Air Missile and Validation with Flight Data,"Debasis Chakraborty, K Anandhanarayanan, Ankit Raj, Vaibhav Shah, R Krishnamurthy","(4, 1)"
"('January', '2018')",Ab Initio Studies on the Interaction Between Copper(I) and 5-Nitrotetrazolate Anion,V. Venkatesan,"(4, 2)"
"('January', '2018')",A Design of Experiments Methodology for Evaluating Configuration for a Generation Next Main Battle Tank,"Abdur Rahman Hafeezur Rahman, Shaik Ameer Malik, Jagath Rajesh Kumar, Vadivelu Balaguru, Palanivel Sivakumar","(4, 3)"
"('January', '2018')",Topology Optimisation and Fabrication Aspects for Light Weight Design of an Articulating Beam of Article Launching System,"Nilesh Patel, Vinaykumar Rokade","(4, 4)"
"('January', '2018')",Ergonomic Level Improving of Armoured Fighting Vehicle Crew,"N. V. Ramamurthy, B. K. Vinayagam, Roopchand J.","(4, 5)"
"('January', '2018')",Command Agent Belief Architecture to Support Commander Decision Making in Military Simulation,"Sanjay Bisht, H. S. Bharati, S. B. Taneja, Punam Bedi","(4, 6)"
"('January', '2018')",A Game Theoretic Software Test-bed for Cyber Security Analysis of Critical Infrastructure,"Monica Ravishankar, D. Vijay Rao, C. R. S. Kumar","(4, 7)"
"('January', '2018')",Novel Ultra Wide Band Polarisation Independent Capacitive Jaumann Radar Absorber,"Madhu A. Ramkumar, Chandrika Sudhendra","(4, 8)"
"('January', '2018')",Networking of Tracking Radars of Two Different SAM Weapons to Protect the Missile in Intensive Jamming Environment,"G. Kumaraswamy Rao, Sreehari Rao, Sudhir Kumar Chaudhuri","(4, 9)"
"('January', '2018')",Methodology to Measure the Protective Areal Density of Ceramic Tiles Against Projectile Impact,"S. G. Savio, V. Madhu","(4, 10)"
"('January', '2018')",Activated Carbon Fabric: An Adsorbent Material for Chemical Protective Clothing,"Vikash B. Thakare, Nagesh K. Tripathi, Virendra V. Singh, Manisha Sathe, Beer Singh","(4, 11)"
"('January', '2018')","Comparative Study of Damping in Pristine, Steel, and Shape Memory Alloy Hybrid Glass Fiber Reinforced Plastic Composite Beams of Equivalent Stiffness","Amit Kumar Gupta, R. Velmurugan, Makarand Joshi","(4, 12)"
"('January', '2018')",Synthesis of Silver Nanostructures and their Application in Highly Sensitive SERS Sensors,"Alok Kumar Srivastava, Punam Awasthi, Sanjay Kanojia, N. S. Neeraj, Pankaj Sharma, Kingsuk Mukhopadhyay, N. Eswara Prasad","(4, 13)"
"('January', '2018')",Influence of Bathymetry on the Performance of Regional Scale Model,"P. Anand, P.V. Hareesh Kumar","(4, 14)"
"('January', '2018')",Design and Development of Redeployable Underwater Data Communication Link for Defence Application,"Arun Kumar, L. Anjaneyulu","(4, 15)"
"('November', '2017')",Parameter Estimation of Unstable Aircraft using Extreme Learning Machine,"Hari Om Verma, N. K. Peyada","(5, 0)"
"('November', '2017')",Metal Ceramic Segmented Ring Transducer under Deep Submergence Conditions,"Subash Chandrabose M R, Shan Victor Pereira, Jayakumar B, Ebenezer D. D.","(5, 1)"
"('November', '2017')","Studies on Sheet Explosive Formulation Based on Octahydro-1,3,5,7-Tetranitro-1,3,5,7-Tetrazocine and Hydroxyl Terminated Polybutadiene","Suresh Kumar Jangid, Mrityunjay Kumar Singh, Vasant Jadavji Solanki, Rabindra Kumar Sinha, Krothapalli Prabhakara Subrahmania Murthy","(5, 2)"
"('November', '2017')",Standoff Detection of Explosives at 1 m using Laser Induced Breakdown Spectroscopy,"Manoj Kumar Gundawar, Rajendhar Junjuri, Ashwin Kumar Myakalwar","(5, 3)"
"('November', '2017')","Alpha-2-Antiplasmin : A Fibrinolytic Peptide, could be a Potential Biomarker for Diagnosis of High Altitude Induced Pulmonary Hypertension","Prasanna K. Reddy, Shajer M. Malik","(5, 4)"
"('November', '2017')",HeW: AHash Function based on Lightweight Block Cipher FeW,"Manoj Kumar, Dhananjoy Dey, Saibal K Pal, Anupama Panigrahi","(5, 5)"
"('November', '2017')",Impregnable Defence Architecture using Dynamic Correlation-based Graded Intrusion Detection System for Cloud,"K. Umamaheswari, S. Sujatha","(5, 6)"
"('November', '2017')",Computer Graphic and Photographic Image Classification using Local Image Descriptors,"Gajanan K Birajdar, Vijay H Mankar","(5, 7)"
"('November', '2017')",Compact Planar One-Shot Circular Spark Gap Switch,"Harish Kumar Gupta, M R Patel, Sahil Sharma, A V Nirmal, Kamaljeet Singh","(5, 8)"
"('November', '2017')",Channel Estimation for Frequency Division Duplexing Multi-user Massive MIMO Systems via Tensor Compressive Sensing,"Qingzhu Wang, Mengying Wei, Yihai Zhu","(5, 9)"
"('November', '2017')",Development of Scale and Rotation Invariant Neural Network based Technique for Detection of Dielectric Contrast Concealed Targets with Millimeter Wave System,"Bambam Kumar, Prabhat Sharma, Dharmendra Singh","(5, 10)"
"('November', '2017')",Fabrication and Evaluation of Low Density Glass-Epoxy Composites for Microwave Absorption Applications,"Srikanth Ivaturi, P S.N.S.R. Srikar, K. Anusha, S. K. Majee, Himanshu Bhusan Baske, P. Rama Subba Reddy, P Ghosal","(5, 11)"
"('November', '2017')",Fractional Calculus Guidance Algorithm in a Hypersonic Pursuit-Evasion Game,"Jian Chen, Qilun Zhao, Zixuan Liang, Peng Li, Zhang Ren, Yongjun Zheng","(5, 12)"
"('Check', 'Manually')",commemorative !,commemorative !,"(5, 13)"
"('Check', 'Manually')",commemorative !,commemorative !,"(5, 14)"
"('September', '2017')",Investigation of Incompressible Flow Past Two Circular Cylinders of Different Diameters,"Yogesh Bhumkar, Priyank Kumar, Arnab Roy, Sudip Das, Jai Kumar Prasad","(6, 0)"
"('September', '2017')",Simplified CFD based Approach for Estimation of Heat Flux over Wedge Models in High Speed Plasma Flows,"L. Aravindakshan Pillai, Praveen Nair","(6, 1)"
"('September', '2017')",Effect of Yield Criterion on Stress Distribution and Maximum Safe Pressure for an Autofrettaged Gun Barrel,"Amit Bhetiwal, Sunil Kashikar, Haribhau Markale, Shailendra Gade","(6, 2)"
"('September', '2017')","Study of an Energetic-oxidant Co-crystal: Preparation, Characterisation, and Crystallisation Mechanism","Han Gao, Wei Jiang, Jie Liu, Gazi Hao, Lei Xiao, Xiang Ke, Teng Chen","(6, 3)"
"('September', '2017')",Glycemic Index Lowering Effect of Chicken Solids on Corn Starch,"Shefali Bhardwaj, V. K. Shiby, M. C. Pandey","(6, 4)"
"('September', '2017')",Constrained Target Clustering for Military Targeting Process,Jungmok Ma,"(6, 5)"
"('September', '2017')",Model of Optimal Cooperative Reconnaissance and its Solution using Metaheuristic Methods,"Petr Stodola, Jan Mazal","(6, 6)"
"('September', '2017')",On Walsh Spectrum of Cryptographic Boolean Function,"Shashi Kant Pandey, B. K. Dass","(6, 7)"
