"('March', 2018)",Comfort properties of double face knitted fabrics for tennis sportswear,"Suganthi T, Senthilkumar P"
"('March', 2018)",Cyclic bursting loading on needle-punched nonwovens:  Part I – Distention behavior,"Kumar Bipin, Das Apurba, Sharma Atul, Krishnasamy Jagatheesan, Alagirusamy R"
"('March', 2018)","Dimensional stability of cotton, tencel and tencel/cotton blend plain weft  knitted fabrics","Ramasamy K A, Nalankilli G, Shanmugasundaram O L"
"('March', 2018)",A modeling study on lateral compressive behavior of structured needle - punched nonwovens,"Alirezazadeh Azam, Zarrebini Mohammad, Ghane Mohammad"
"('March', 2018)",Banana pseudostem sap and boric acid— A new green intumescent for making self- extinguishing cotton fabric,"Basak S, Samanta Kartick K, Chattopadhyay S K, Saxena S, Narkar R"
"('March', 2018)",Prediction of thermo-physiological properties of plated knits by different neural network architectures,"Jhanji Y, Gupta D, Kothari V K"
"('March', 2018)",Effect of residual extensibility of polyester filament yarn on low-stress  mechanical properties of fabric,"Singh Mukesh Kumar, Behera B K"
"('March', 2018)",Effect of wrapper filament characteristics and wrap density on physical properties of wrap-spun jute and jute-viscose blended yarns,Chaudhuri Atin
"('March', 2018)","Morphological, structural and electrical properties of polypyrrole nanocoated bamboo cellulose fibre","Sharma Partha P D, Sarkar D"
"('March', 2018)",Evaluation of liquid moisture transport in textile structures,"Glombikova Viera, Nemcokova Renata, Komarkova Petra, Kus Zdenek"
"('March', 2018)",A novel approach in pigment printing using nano-keratin based binder,"Taleb M Abou, Haggag K, Mostafa Tahia B, ElKheir A Abou, ElSayed H"
"('March', 2018)",Natural dyes from lignocellulosic biomass hydrolysates,Meryemoglu Bahar
"('March', 2018)",Modal wet processing – A novel approach,"Jadhav Abhishek C, Pingale Navnath, Shukla Sanjeev R"
"('March', 2018)",Swelling and drug release kinetics of composite wound dressing,"Agrawal Anuja, Purwar Roli"
"('March', 2018)",A new approach for color matching of fluorescent dyes in binary mixture,"Bafrooei Fatemeh Khakzar, Khalili Haleh, Safi Mahdi"
"('March', 2018)",Sodium perborate bleaching of cotton by using tetraacetyl ethylenediamine activator,"Indi Yashovardhan Mallikarjun, Wasif Akhilahmad"
"('March', 2018)",Relationship between morphology and tensile properties of pig hair fibre,"Mohan N H, Nayak L K, Gokuldas P P, Debnath S, Paul M, Ammayappan L, Ramamurty V V, Sarma D K"
"('March', 2018)",Use of fermented dough extract in the  dyeing of wool fabrics,"Onal Adem, Yilmaz Mustafa, Eser Ferda"
"('June', 2018)","Improvement in dyeing, electro resistivity, and anti-microbial  properties of acrylic fibres",Baseri Somayeh
"('June', 2018)",Effect of yarn fineness and various knitting parameters on ultraviolet resistance of knitted fabrics,"Banerjee Debamalya, Mal Prithwiraj, Ghosh Anindya, Majumdar Abhijit"
"('June', 2018)",Predicting behavior of needled geotextile materials made of recycled  polyester fibres up to yield point,"Trajković Dušan, Stepanović Jovan, Stojiljković Dragan, Đorđić Dragan"
"('June', 2018)",Influence of ring frame process parameters on yarn structure and fabric assistance,"Ishtiaque Saiyed M, Ghosh Dipanjan, Yadav Vijay K"
"('June', 2018)",Finite element simulation of pressing fabric switch at low speed,"Wang Zhangang, Zhao Jun, Zhang Meiling"
"('June', 2018)",Dimensional behavior of interlock knitted cotton fabrics,"Roy K, Varshney R, Kothari V K"
"('June', 2018)",Modelling and experimental investigation of mechanical performances of braided polyamide sutures,"Debbabi Faten, Abdessalem Saber Ben"
"('June', 2018)",Effect of loading behaviour on compressional property of needle-punched nonwoven fabric,Sengupta Surajit
"('June', 2018)",Study of cyclic bursting loading on needle-punched nonwovens: Part II – Change in air permeability and compression behavior,"Kumar Bipin, Das Apurba, Sharma Atul, Krishnasamy Jagatheesan, Alagirusamy R"
"('June', 2018)",Development of brightness on handmade woolen carpets,"Malik R K, Goswami K K"
"('June', 2018)","Effect of coagulation time, number of coagulation bath and ingredients on properties of continuous graphene oxide fibre","Ucar Nuray, Gokceli Gokcen, Yuksek Ilkay Ozsev, Onen Aysen, Karatepe Nilgun"
"('June', 2018)",Laccase-mediated dye-free coloration of wool fabric,"Jia Weini, Wang Qiang, Fan Xuerong, Dong Aixue, Yu Yuanyuan, Wang Ping, Yuan Jiugang"
"('June', 2018)",Use of MS paint for ‘weave and colour pattern’ designing,Panneerselvam R G
"('June', 2018)",Predictive algorithm for run-in value of warp knitting based on weave matrix,"Zhang Jisheng, Jiang Gaoming, Cong Honglian, Ma Pibo, Wu Zhiming"
"('June', 2018)",Ultraviolet protection and antibacterial properties of silk fabric dyed with ,"Jiang Huiyu, Khan Asfandyar, Yao Jinbo, Hussain Muhammad Tahir"
"('June', 2018)",Effect of backed yarn characteristics on two-thread fleece knitted fabric properties,Fouda Abd Elmonem
"('June', 2018)",Impact of biaxial square woven jute fabric reinforcement on mechanical performance of polyester-based composites,"Sezgin Hande, Enis Ipek Yalcin, Berkalp Omer Berk"
"('June', 2018)",Automatic pattern separation of jacquard warp-knitted fabric by supervised multi-scale Markov model,"Tong Youcheng, Zhang Yang"
"('September', 2018)",Quality testing of staple yarn by an instrument with dual sensing and its comparative study with capacitive sensing,"Roy Subhasish, Sengupta Anindita, Sengupta Surajit"
"('September', 2018)",Prediction of open-hole tensile strength of unidirectional flax yarn reinforced polypropylene composite by analytical and numerical models,"Kannan T Gobi, Pawar S J, Cheng Kuo Bing"
"('September', 2018)",Electroneutral quaternization and sulfosuccination of cornstarch for improving the properties of its low-temperature sizing to viscose yarns,"Li Wei, Zhu Zhifeng, Wang Xu, Xu Zhenzhen, Liu Xinhua"
"('September', 2018)",Effect of spinning process parameters on mélange yarn quality by Taguchi experimental design,"Ray Suchibrata, Ghosh Anindya, Banerjee Debamalya"
"('September', 2018)",Evaluation of flexural modulus of carbon 3D orthogonal woven fabric using a trilinear model,"Minapoor Shohreh, Ajeli Saeed, Sheikhzadeh Mohammad"
"('September', 2018)",Development and characterisation of biodegradable film from natural polymers,"Ganesan P, Kanmani P"
"('September', 2018)",Effects of treatments on the properties of polyester based hemp composite,"Gupta M K, Gond R K, Bharti Ajaya"
"('September', 2018)",Exergy analysis of porous cotton fabric drying process during the  domestic air vented dryer,"Wei Yuhui, Ding Xuemei"
"('September', 2018)",Effect of MVS process parameters on knitted fabric characteristics,"Dhamija Sudershan, Varshney Rajeev Kumar, Deshdeepak"
"('September', 2018)",Enhancement of cotton hydrophobicity through modified styrene admicellar polymerization,"Ulman Khushalini Nitin, Shukla Sanjeev Ramchandra"
"('September', 2018)",Antibacterial and self-cleaning properties of cotton fabric treated with TiO,"Derakhshan Seyed Javad, Karimi Loghman, Zohoori Salar, Davodiroknabadi Abolfazl, Lessani Lida"
"('September', 2018)","Printing of jute fabric with natural dyes extracted from manjistha, annatto  and ratanjot","Chattopadhyay S N, Pan N C, Khan A"
"('September', 2018)",Chemical auxiliaries free dyeing of cationized cotton with 1:2 metal complex dye,"Hamdaoui Mohamed, Romdhani Zouhaier, Djebbi Ilhem, Harzallah Omar, Harzallah Jamel"
"('September', 2018)",Effect of TiO,"Ghafarzadeh Reza, ShamsNateri Ali, Shojaie Abdollah Fallah"
"('September', 2018)",Coloration of PLA/modified montmorillonite nanocomposite fibres  with acid and basic dyes,"Nitayaphat Walaikorn, Kampeerapappun Piyaporn"
"('September', 2018)",Performance of chitosan: jasmine oil microcapsule on jute fabric,"Pan N C, Ammayappan L, Khan A, Chakraborty S"
"('September', 2018)",Low-stress mechanical properties and fabric hand of cotton and polylactic acid fibre blended knitted fabrics,"Guruprasad R, Prasad G Krishna, Prabu G T V, Raj Sheela, Patil P G"
"('March', 2017)",Effect of linear density of feed yarn filaments and air-jet texturing process variables on compressional properties of fabrics,"Baldua R K, Rengasamy R S, Kothari V K"
"('March', 2017)",Finite element analysis of mechanical properties of 2.5D angle-interlock woven composites: Part 1— Full-cell model and its validation,"Song Jian, Wen Weidong, Cui Haitao"
"('March', 2017)",Comfort properties and dyeing behaviour of cotton/milkweed blended  rotor yarn fabrics,"Karthik T, Murugan R, Sakthivel J C"
"('March', 2017)",Effects of different production processing stages on mechanical and surface characteristics of polylactic acid and PET fibre fabrics,"Hasani Hossein, Avinc Ozan, Khoddami Akbar"
"('March', 2017)",Manufacturing and morphology of poly(ε-caprolactone) based microfibre webs for biomedical applications through airbrush technique,"Bedeloglu Ayse Celik, Bhullar Sukhwinder K, Borazan İsmail, Cin Zeynep Işlek, Demir Ali"
"('March', 2017)",Modelling of surface roughness based on geometrical parameters of woven fabrics,"Ezazshahabi Nazanin, Tehran Mohammad Amani, Latifi Masoud, Madanipour Khosro"
"('March', 2017)",Regenerated cellulose/multiwalled carbon nanotube composite films with enhanced mechanical properties prepared in NaOH/urea aqueous solution,"Li Qian, Li Qing"
"('March', 2017)",Comfort limit and heat protection properties of single layer cotton/ nylon-Kermel blended fabrics,"Kakvan Ali, Najar Saeed Shaikhzadeh, Psikuta Agnes, Sharifnejad Farshid"
"('March', 2017)","Mechanical, thermal and dynamic mechanical analysis of  jute fibre reinforced epoxy composite","Gupta M K, Srivastava R K"
"('March', 2017)",A new technique of producing sliver of Estabragh fibres,"Merati Ali Akbar, Moazeni Najmeh"
"('March', 2017)",Numerical simulation of three-dimensional flow field in three-line rollers and four-line rollers compact spinning systems using finite element method,"Liu Xiaoyan, Liu Xinjin"
"('March', 2017)",Finite element modeling of electrospun nanofibre mesh using microstructure architecture analysis,"Gorji M, Jeddi Ali A A, Gharehaghaji A A, Haghpanahi M"
"('March', 2017)",Effect of alkaline treatment on mechanical properties of voile fabric reinforced epoxy composites,Koyuncu Menderes
"('March', 2017)",Effect of moisture and water on thermal protective performance  of multilayered fabric assemblies for firefighters,"Chakraborty Supriyo, Kothari V K"
"('March', 2017)",Toughened cyanoethyl starch by blending with poly(methyl acrylate-co-acrylic acid-co-acrylonitrile) latex for warp sizing,"Zhu Zhifeng, Chen Xiaoyu, Wang Miao, Lin Jack"
