Date,Journal,Author,Prob
"('March', 2018)",Comfort properties of double face knitted fabrics for tennis sportswear,"Suganthi T, Senthilkumar P","[-1.0, 1.0]"
"('March', 2018)",Cyclic bursting loading on needle-punched nonwovens:  Part I – Distention behavior,"Kumar Bipin, Das Apurba, Sharma Atul, Krishnasamy Jagatheesan, Alagirusamy R","[0.9930708661417323, 0.75, -0.8494520547945206, 696969, 696969]"
"('March', 2018)","Dimensional stability of cotton, tencel and tencel/cotton blend plain weft  knitted fabrics","Ramasamy K A, Nalankilli G, Shanmugasundaram O L","[1.0, 696969, 696969]"
"('March', 2018)",A modeling study on lateral compressive behavior of structured needle - punched nonwovens,"Alirezazadeh Azam, Zarrebini Mohammad, Ghane Mohammad","[0.93, 1.0, 1.0]"
"('March', 2018)",Banana pseudostem sap and boric acid— A new green intumescent for making self- extinguishing cotton fabric,"Basak S, Samanta Kartick K, Chattopadhyay S K, Saxena S, Narkar R","[696969, -0.85, 696969, 696969, 696969]"
"('March', 2018)",Prediction of thermo-physiological properties of plated knits by different neural network architectures,"Jhanji Y, Gupta D, Kothari V K","[696969, 0.67, -1.0]"
"('March', 2018)",Effect of residual extensibility of polyester filament yarn on low-stress  mechanical properties of fabric,"Singh Mukesh Kumar, Behera B K","[0.97565, 696969]"
"('March', 2018)",Effect of wrapper filament characteristics and wrap density on physical properties of wrap-spun jute and jute-viscose blended yarns,Chaudhuri Atin,[-0.79]
"('March', 2018)","Morphological, structural and electrical properties of polypyrrole nanocoated bamboo cellulose fibre","Sharma Partha P D, Sarkar D","[-0.5604, 696969]"
"('March', 2018)",Evaluation of liquid moisture transport in textile structures,"Glombikova Viera, Nemcokova Renata, Komarkova Petra, Kus Zdenek","[-1.0, -0.9900000000000001, -0.99, 1.0]"
"('March', 2018)",A novel approach in pigment printing using nano-keratin based binder,"Taleb M Abou, Haggag K, Mostafa Tahia B, ElKheir A Abou, ElSayed H","[0.9709375, 696969, -1.0, 0.97, 1.0]"
"('March', 2018)",Natural dyes from lignocellulosic biomass hydrolysates,Meryemoglu Bahar,[-0.95]
"('March', 2018)",Modal wet processing – A novel approach,"Jadhav Abhishek C, Pingale Navnath, Shukla Sanjeev R","[1.0, 696969, 1.0]"
"('March', 2018)",Swelling and drug release kinetics of composite wound dressing,"Agrawal Anuja, Purwar Roli","[-1.0, 0.63]"
"('March', 2018)",A new approach for color matching of fluorescent dyes in binary mixture,"Bafrooei Fatemeh Khakzar, Khalili Haleh, Safi Mahdi","[-1.0, -1.0, 0.9609090909090909]"
"('March', 2018)",Sodium perborate bleaching of cotton by using tetraacetyl ethylenediamine activator,"Indi Yashovardhan Mallikarjun, Wasif Akhilahmad","[0.813125, 1.0]"
"('March', 2018)",Relationship between morphology and tensile properties of pig hair fibre,"Mohan N H, Nayak L K, Gokuldas P P, Debnath S, Paul M, Ammayappan L, Ramamurty V V, Sarma D K","[1.0, 696969, 696969, 696969, 1.0, 1.0, 696969, 0.67]"
"('March', 2018)",Use of fermented dough extract in the  dyeing of wool fabrics,"Onal Adem, Yilmaz Mustafa, Eser Ferda","[0.99, 1.0, -0.9600000000000001]"
"('June', 2018)","Improvement in dyeing, electro resistivity, and anti-microbial  properties of acrylic fibres",Baseri Somayeh,[-1.0]
"('June', 2018)",Effect of yarn fineness and various knitting parameters on ultraviolet resistance of knitted fabrics,"Banerjee Debamalya, Mal Prithwiraj, Ghosh Anindya, Majumdar Abhijit","[696969, 0.67, 0.8, 1.0]"
"('June', 2018)",Predicting behavior of needled geotextile materials made of recycled  polyester fibres up to yield point,"Trajković Dušan, Stepanović Jovan, Stojiljković Dragan, Đorđić Dragan","[0.97, 0.95, 0.98, 0.98]"
"('June', 2018)",Influence of ring frame process parameters on yarn structure and fabric assistance,"Ishtiaque Saiyed M, Ghosh Dipanjan, Yadav Vijay K","[1.0, 1.0, 0.9800625000000001]"
"('June', 2018)",Finite element simulation of pressing fabric switch at low speed,"Wang Zhangang, Zhao Jun, Zhang Meiling","[0.74, 0.9260869565217391, -0.6307894736842106]"
"('June', 2018)",Dimensional behavior of interlock knitted cotton fabrics,"Roy K, Varshney R, Kothari V K","[0.99, 696969, -1.0]"
"('June', 2018)",Modelling and experimental investigation of mechanical performances of braided polyamide sutures,"Debbabi Faten, Abdessalem Saber Ben","[-1.0, 0.9894710401891252]"
"('June', 2018)",Effect of loading behaviour on compressional property of needle-punched nonwoven fabric,Sengupta Surajit,[1.0]
